15.16666667,20,24.33333333,36.66666667,48.16666667
13.65,18,21.9,33,43.35
12.13333333,16,19.46666667,29.33333333,38.53333333
10.61666667,14,17.03333333,25.66666667,33.71666667
9.1,12,14.6,22,28.9
7.583333333,10,12.16666667,18.33333333,24.08333333
6.066666667,8,9.733333333,14.66666667,19.26666667
4.55,6,7.3,11,14.45
3.033333333,4,4.866666667,7.333333333,9.633333333
1.516666667,2,2.433333333,3.666666667,4.816666667
10.16666667,13.33333333,16.83333333,25,33.16666667
9.15,12,15.15,22.5,29.85
8.133333333,10.66666667,13.46666667,20,26.53333333
7.116666667,9.333333333,11.78333333,17.5,23.21666667
6.1,8,10.1,15,19.9
5.083333333,6.666666667,8.416666667,12.5,16.58333333
4.066666667,5.333333333,6.733333333,10,13.26666667
3.05,4,5.05,7.5,9.95
2.033333333,2.666666667,3.366666667,5,6.633333333
1.016666667,1.333333333,1.683333333,2.5,3.316666667
7.5,10,12.83333333,19,25.83333333
6.75,9,11.55,17.1,23.25
6,8,10.26666667,15.2,20.66666667
5.25,7,8.983333333,13.3,18.08333333
4.5,6,7.7,11.4,15.5
3.75,5,6.416666667,9.5,12.91666667
3,4,5.133333333,7.6,10.33333333
2.25,3,3.85,5.7,7.75
1.5,2,2.566666667,3.8,5.166666667
0.75,1,1.283333333,1.9,2.583333333
5,6.5,8.333333333,12.5,16.83333333
4.5,5.85,7.5,11.25,15.15
4,5.2,6.666666667,10,13.46666667
3.5,4.55,5.833333333,8.75,11.78333333
3,3.9,5,7.5,10.1
2.5,3.25,4.166666667,6.25,8.416666667
2,2.6,3.333333333,5,6.733333333
1.5,1.95,2.5,3.75,5.05
1,1.3,1.666666667,2.5,3.366666667
0.5,0.65,0.833333333,1.25,1.683333333
2,2.833333333,3.666666667,5.5,7.5
1.8,2.55,3.3,4.95,6.75
1.6,2.266666667,2.933333333,4.4,6
1.4,1.983333333,2.566666667,3.85,5.25
1.2,1.7,2.2,3.3,4.5
1,1.416666667,1.833333333,2.75,3.75
0.8,1.133333333,1.466666667,2.2,3
0.6,0.85,1.1,1.65,2.25
0.4,0.566666667,0.733333333,1.1,1.5
0.2,0.283333333,0.366666667,0.55,0.75
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
